American,Fast_food,Italian,Mexican,Seafood,Chinese,Asian,Mediterranean,Vegetarian,Premium,South_American,African
0x89b7b79094d3b033:0x251192874df060e8,0x89b7c9b8225232cb:0x4b82810606a0b67a,0x89b7b7db03e76531:0xb0110630f44207b2,0x89b7b7ec97b05f69:0x1e68d790518e6ed5,0x89b7b7b87a3a8c1f:0x842d20c017e872d6,0x89b7b9b0ab6a9a6b:0xc8400cbf48fb3f4a,0x89b7b7fac814806d:0x885a32b54ba5ff22,0x89b7b7db03e76531:0xb0110630f44207b2,0x89b7b78308f7e00b:0x1fdbd327376d4155,0x89b7b82504bee25b:0xdfa078d0c39dbcb1,0x89b7b99de5abea29:0x922d57232d999b70,0x89b7c931e2bcc94b:0xcf8607efb00b13a1
0x89b7b9b52edbd197:0xc1362f102b7bb235,0x89b7b79ad5a69a43:0xce2fab5ae44aaf7f,0x89b7b84004b060cb:0xd518e0fd15417000,0x89b7b7c8a734193d:0x1563c375f9a20a83,0x89b7b9b52edbd197:0xc1362f102b7bb235,0x89b7b774a88a7017:0x5a6b70a2cd56a5d8,0x89b7b782d07cb62b:0x6e1c9b7d9cc81294,0x89b7b7e53c92c717:0x2226d8fd3e9fd383,0x89b7b7c63b3a8f6f:0x6bae94ec7e3274a9,0x89b7c994e5caded5:0xdfc2dc90da5fec5a,0x89b7c8180277a9b5:0x8078fedfff116152,0x89b7b7e7a6b30a3f:0x6009316fbc29be47
0x89b7b7c0834ff21b:0x886dad4956cfb4ea,0x89b7b7db03e76531:0xb0110630f44207b2,0x89b7b7e7c58a3ddb:0xc2c70b7736992659,0x89b7b8730acfd143:0x8a6a53a9bc4ae91c,0x89b7b810ebd9bbff:0x5cdc759d4859f0a0,0x89b7b7e52d5dd20b:0x5f7f0363d089c648,0x89b7b79a1cfffff9:0xb9baf3204649fb9a,0x89b7c9d4af695555:0x4149d5200771abf4,0x89b7b791fcad1491:0x1ade029d4d97f096,0x89b7b793d9611aa1:0x1b0511935cb77f01,0x89b7b7cf4681ff6d:0x4d7a22b638d0da87,0x89b7b7db1c9dcbeb:0xc9a078925be0eb94
0x89b7b7d99f2cbbaf:0x128cf141daa8447f,0x89b7b8935ab49957:0x310d7509a9c5555a,0x89b7b9cb0df33d11:0x4b40480aa1445485,0x89b7c9d92125a965:0xb41a3d58c918af5e,0x89b7b7b7b2562183:0xbaec904cb902ee7d,0x89b7ba0a2b1606ab:0x34c0a4c9dded783c,0x89b7b7c63b3a8f6f:0x6bae94ec7e3274a9,0x89b7c9c2580341dd:0x8fcdd5ebb953d74a,0x89b7b78cdec7cc21:0xca20506555bc557e,0x89b7b6375202a13b:0x6e284aac9d2710ca,0x89b7b7c860d0a5ab:0x416babcf29d0ea4b,0x89b7b7b888f8bdb5:0x5ec4426b5dd8d4b0
0x89b7b7902cb42a8d:0x10eb8d44b9091665,0x89b7b7a40739d98d:0x6e62cd4c647e8465,0x89b7c9ea951d444d:0xf24bf01227f95d48,0x89b7c9611470e0db:0x17083b87af1b07e5,0x89b7b80637f967b7:0x7c0e0070f5e7a1eb,0x89b7c7d7f4c6649f:0xbadb220aad48e06,0x89b7b7c130a31705:0x2316516813efc692,0x89b7b7b8352b4251:0x65bb154db7621bfe,0x89b7b71b382e126f:0xbfd05a95b1f4f331,0x89b7b637add0e961:0xf72f2ddecabc7e74,0x40772f458fcf0f0d:0x9ded5897763b5e95,0x89b7c98cec1c359b:0x6100108f1906ee50
0x89b7b7e80c62ec69:0xe9db30e61ef0ad61,0x89b7b9a173489683:0x3e3e29adac8b9394,0x89b7b75a49c4c7ff:0xb0387f008c775fd7,0x89b7c9c25dbe4781:0xbf6ad63da98718bc,0x89b7c86933764efd:0x209acc07aeddf712,0x89b7c78b3957cad1:0x147395333f1ab1c4,0x89b7b7e64ac2974d:0xa290d9f83a1a82d2,0x89b7b7d4166aa96d:0x6d7cb17aa3d6da15,0x89b7b810ea4b39ff:0x240bfb89d6a21742,0x89b7b7be98e75425:0x7000b88ec2c5dff0,0x89b7c7d1195ddb01:0x28f5360ea8403c47,0x89b7b7f01f9a8be1:0x77bb01a4d8c07d99
0x89b7b7e50f8e68c7:0x530b4ae7085cf4c5,0x89b7b7bf8b5e2bd9:0xff723a18e97b43b4,0x89b7b817530553cf:0x835568b4adf0055c,0x89b7b7e67fb54bef:0x6b4238ba6ba5a455,0x89b7b7c0834ff21b:0x886dad4956cfb4ea,0x89b7b78ddee96a19:0x82aa70837fbcfaa9,0x89b7b9cce8dbe355:0xdcb62fb8cbb719a7,0x89b7b7b795bee3f5:0xfe04dee48458e580,0x89b7b727fe6e7c6f:0xcf12031a4a0afb1a,0x89b7b64947056bc5:0x97e1c40365cdc51d,0x89b7c817ce991599:0x392a43e98dd559e5,0x89b7b7edb0e50fd5:0x65d5ff6a8a261588
0x89b7b7be57f45d79:0x595fe70cd27de4bc,0x89b7b7e7c58a3ddb:0xc2c70b7736992659,0x89b7b833150c385f:0x653692f51eb43d4d,0x89b7b7979cdd8be3:0x95156c35abb1f9e7,0x89b7c7e7be980a1b:0x61e0e4ab0a23581,0x89b7b9aeac9adcfd:0xeb078c60c122b926,0x89b7b75aa101e99f:0x454bfc61720c87a,0x89b7b7b66270afd3:0x6b2fd96dac51344d,0x89b7b7b16e27ecd9:0x8d3be57118a143b1,0x89b7b7cf459eb6bf:0x4ffa26eb95f1b26c,0x89b7c865876a4d79:0x12dcff95273c4a9a,0x89b7c9d19354cdb5:0xcb364030d52de52
0x89b7b6246266cbc3:0x6f012e73cf18a5b5,0x89b7c750eaf3e4bd:0x69bf5a800060a9fa,0x89b7b624b7e7bb7f:0xaab1cdfcf5ecf5a3,0x89b7b9d05857e405:0xf08f6d8a5efbf9e3,0x89b7c7f6fd83dd49:0x4be4b3dd66eff53d,0x89b7b85d94375dab:0x5e0e77c2802fa009,0x89b7b7c1178aebe3:0x58285ec9016d52ae,0x89b7b7b8ce07ce81:0xa85ba4ee52ca2b20,0x89b7c9d30b37c2bf:0xb61e7ee7545567e6,0x89b7b63fc12a99f3:0x9f61b56063205a20,0x89b7c9fd7cfd55a3:0xd3e0cbefc9110a82,0x89b7b7d416c559cd:0xbd498c7c890026ef
0x89b7b7ecfde8405f:0x3514a2a676f33da0,0x89b7b8295faf233d:0xb711c530af1bba84,0x89b7b64bf3c43baf:0x245d0c34628b2304,0x89b7b9d18cbb899b:0x65b0171b90456563,0x89b7b72412d61fe7:0x14033b486cd517f,0x89b7b8063f93fd2d:0xb15d04732f53b019,0x89b7b7b49caf16dd:0x9bb4ba1796835c30,0x89b7b648defa9c87:0xca8c0c6a4b3fd6b0,0x89b7b624b9a3c05d:0xb6895cec84ad6911,0x89b7b79005a9f2a7:0x812f47a8fcada2a,0x89b7c81f2893b6d9:0x7027d80497a59315,0x89b7c81398439f79:0xe780ea6daca01215
